"Qty","Value","Device","Package","Parts","Description","AVAILABILITY","DESCRIPTION","HEIGHT","LCSC#","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","PRICE","PURCHASE-URL","SPICEPREFIX",
"1","","22-23-2061","22-23-2061","X1",".100" (2.54mm) Center Header - 6 Pin","","","","","","","MOLEX","","","","22-23-2061","1462922","27C1933","","6","","","",
"1","100K","RESISTOR_0603_NOOUT","0603-NO","R12","Resistors","","","","","","","","","","","","","","","","","","",
"1","100u","CPOL-EUB/3528-21W","B/3528-21W","C4","POLARIZED CAPACITOR, European symbol","","","","","","","","","","","","","","","4","","","C",
"3","10K","R-EU_R0603","R0603","R4, R5, R9","RESISTOR, European symbol","","","","","","","","","","","","","","","70","","","R",
"2","10u","C-EUC0603","C0603","C3, C5","CAPACITOR, European symbol","","","","","","","","","","","","","","","73","","","C",
"1","12MHz","YSX321SL","SMD3225","Q1","SMD Crystal Resonator","","","","","","","Yangxing Tech","","","X322512MSB4SI","","","","SMD3225","","","","",
"3","15K","FLIPFLOP-RES","0805-THM","R1, R2, R3","Flip Flop resistor","","","","","","","","","","","","","","","","","","",
"2","22","C-EUC0603","C0603","C1, C2","CAPACITOR, European symbol","","","","","","","","","","","","","","","73","","","C",
"3","22-23-2021","22-23-2021","22-23-2021","FLEX1, FLEX2, FLEX3",".100" (2.54mm) Center Header - 2 Pin","","","","","","","MOLEX","","","","22-23-2021","1462926","25C3832","","40","","","",
"5","470","R-EU_R0603","R0603","R6, R7, R8, R10, R11","RESISTOR, European symbol","","","","","","","","","","","","","","","70","","","R",
"2","BC847","BC847","SOT23","T1, T2","NPN TRANSISTOR","","","","","","","","","","","","","","","5","","","",
"2","BLUE","597-5311-402F","LEDC2012X70N","D1, D2","LED Uni-Color Green 560nm 2-Pin Chip 0805(2012Metric) Strip","Unavailable","  LED Uni-Color Green 560nm 2-Pin Chip 0805_2012Metric_ Tape ","","","","","Dialight","","","597-5311-402F","","","","0805 Dialight","","None","","",
"1","CH340G","CH340G","SOIC16","U2","","","","","","","","","","","","","","","","","","","",
"1","DIO5508XS8","DIO5508XS8","SOIC127P600X170-9N","IC2","Battery Management 1A Lithium Ion Battery Charger IC","","Battery Management 1A Lithium Ion Battery Charger IC","1.7mm","","DIOO Microcircuits","DIO5508XS8","","453-DIO5508XS8","https://www.mouser.co.uk/ProductDetail/DIOO-Microcircuits/DIO5508XS8?qs=wUXugUrL1qzPv8nEmpxvyA%3D%3D","","","","","","","","","",
"1","DMG3415U","MOSFET-P","SOT23-R","Q3","P-Channel Mosfet","","","","","","","","","","","","","","","","","","",
"1","ESP32-WROOM-32D","ESP32-WROOM-32D","MODULE_ESP32-WROOM-32D","U1","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount Check availability","In Stock"," Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated ","","","","","Espressif Systems","","","ESP32-WROOM-32D","","","","Module Espressif Systems","","None","https://pricing.snapeda.com/search/part/ESP32-WROOM-32D/?ref=eda","",
"3","GREEN","597-5311-402F","LEDC2012X70N","D3, D5, D6","LED Uni-Color Green 560nm 2-Pin Chip 0805(2012Metric) Strip","Unavailable","  LED Uni-Color Green 560nm 2-Pin Chip 0805_2012Metric_ Tape ","","","","","Dialight","","","597-5311-402F","","","","0805 Dialight","","None","","",
"1","JSTPH","CON_JST_PH_2PIN","JSTPH2","X2","JST 2-Pin Right-Angle Connector","","","","","","","","","","","","","","","","","","",
"1","MBR120","DIODE-SCHOTTKYSOD-123","SOD-123","D4","","","","","","","","","","","","","","","","","","","",
"1","TPS78533QWDRBRQ1","TPS78533QWDRBRQ1","SON65P300X300X100-9N","IC1","LDO Voltage Regulators Automotive, 1-A, high-accuracy, adjustable low-dropout (LDO) linear regulator","","LDO Voltage Regulators Automotive, 1-A, high-accuracy, adjustable low-dropout (LDO) linear regulator","1mm","","Texas Instruments","TPS78533QWDRBRQ1","","595-TPS78533QWDRBRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS78533QWDRBRQ1?qs=iLbezkQI%252BsiNbdqh2Ko9GQ%3D%3D","","","","","","","","","",
"2","TS36CA-0.7","TS36CA-0.7","SMD","BTN1, BTN2","SHOU HAN TS36CA-0.7","","","","C412365","","","SHOU HAN","","","TS36CA-0.7","","","","","","","","",
"1","USB4105_REVA","USB4105_REVA","GCT_USB4105_REVA","J1","USB Type C Receptacle for USB 2.0","Unavailable"," USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle"," Through Hole ","","","","","Global Connector Technology","","","USB4105","","","","Package ","","None","",
